time,lr,fb,ud,yaw,cx,cy,area
11.887,0,-15,-30,30,421,364,45796
11.918,0,-15,-30,30,421,364,45796
11.951,0,-15,-30,30,422,364,45796
14.763,0,-15,-30,-14,406,356,36100
14.784,0,-15,-30,27,404,356,36100
14.806,0,-15,-30,30,403,355,35721
14.827,0,-15,-30,30,403,354,38416
14.847,0,-15,-30,30,407,358,44100
14.868,0,-15,-30,24,404,356,44100
14.895,0,-15,-30,30,404,356,45796
14.927,0,-15,-30,30,405,356,44100
14.958,0,-15,-30,30,404,355,44100
14.992,0,-15,-30,30,404,355,44100
15.023,0,-15,-30,30,406,353,44100
15.056,0,-15,-30,30,407,355,43681
15.088,0,-15,-30,24,404,355,42436
15.12,0,-15,-30,30,403,353,42025
15.151,0,-15,-30,30,403,353,42025
15.183,0,-15,-30,29,402,352,43264
15.218,0,-15,-30,30,404,353,43681
15.262,0,-15,-30,30,406,355,44100
15.293,0,-15,-30,24,403,354,43681
15.326,0,-15,-30,30,407,354,43264
15.36,0,-15,-30,24,404,353,43681
15.39,0,-15,-30,30,406,356,44100
15.423,0,-15,-30,30,407,357,44100
15.454,0,-15,-30,30,407,357,44100
15.487,0,-15,-30,30,406,356,46225
15.52,0,-15,-30,30,405,356,46225
15.552,0,-15,-30,30,404,354,43681
15.583,0,-15,-30,30,406,358,42436
15.616,0,-15,-30,30,407,357,44100
15.665,0,-15,-30,27,405,357,44521
15.696,0,-15,-30,30,405,356,46225
15.727,0,-15,-30,30,406,355,44100
15.76,0,-15,-30,30,405,357,41616
15.792,0,-15,-30,30,405,357,41616
15.823,0,-15,-30,30,407,355,42849
15.856,0,-15,-30,30,408,356,41616
15.888,0,-15,-30,28,406,356,40401
15.918,0,-15,-30,30,410,354,42436
15.951,0,-15,-30,18,405,354,42025
15.982,0,-15,-30,30,406,355,40804
16.013,0,-15,-30,30,407,351,40401
16.062,0,-15,-30,30,407,353,39601
16.095,0,-15,-30,30,410,355,42436
16.126,0,-15,-30,30,410,353,45796
16.158,0,-15,-30,30,411,355,44100
16.606,0,-15,-30,30,410,351,37249
16.627,0,-15,-30,30,413,351,36100
16.655,0,-15,-30,30,411,350,34969
16.687,0,-15,-30,30,414,351,36864
16.718,0,-15,-30,27,411,350,34969
16.752,0,-15,-30,30,412,353,36481
16.784,0,-15,-30,30,412,352,37249
16.805,0,-15,-30,30,412,352,37249
16.863,0,-15,-30,30,412,352,37636
16.897,0,-15,-30,30,412,349,36481
16.926,0,-15,-30,30,414,350,36100
16.958,0,-15,-30,30,412,348,34225
16.989,0,-15,-30,30,413,350,36481
17.023,0,-15,-30,30,412,351,36864
17.056,0,-15,-30,30,414,350,34969
17.085,0,-15,-30,30,414,351,36864
17.117,0,-15,-30,30,413,350,35721
17.149,0,-15,-30,30,415,351,36481
17.183,0,-15,-30,30,415,351,35344
17.203,0,-15,-30,30,415,351,35344
17.261,0,-15,-30,30,413,350,37249
17.295,0,-15,-30,30,414,351,37249
17.325,0,-15,-30,30,414,351,36100
17.449,0,-15,-30,30,415,352,36864
17.584,0,-15,-30,27,412,352,38025
17.617,0,-15,-30,30,411,351,36100
17.662,0,-15,-30,30,415,353,36864
17.697,0,-15,-30,30,416,350,37249
17.73,0,-15,-30,30,418,354,39204
17.761,0,-15,-30,30,417,353,38025
17.791,0,-15,-30,30,420,352,37249
17.822,0,-15,-30,30,421,354,36864
17.854,0,-15,-30,30,423,355,44521
17.886,0,-15,-30,30,425,354,42849
17.918,0,-15,-30,30,428,357,47524
17.953,0,-15,-30,30,428,356,46225
